,count,freq
lists,4,0.0010775862068965517
compelling,14,0.003771551724137931
earrings,5,0.0013469827586206897
departing,8,0.0021551724137931034
wellspokenness,2,0.0005387931034482759
footless,4,0.0010775862068965517
bloody,1,0.00026939655172413793
units,1,0.00026939655172413793
perplexed,10,0.0026939655172413795
openhanded,6,0.0016163793103448276
intoxicated,44,0.011853448275862068
just,1196,0.32219827586206895
active,14,0.003771551724137931
unrighteous,52,0.014008620689655173
says,272,0.07327586206896551
illusion,11,0.002963362068965517
guide,27,0.007273706896551724
lotuses,21,0.005657327586206897
known,521,0.14035560344827586
gladness,17,0.0045797413793103444
cessation,1849,0.49811422413793105
bloodrelation,3,0.0008081896551724138
iriyapathasanthapana,1,0.00026939655172413793
buckets,8,0.0021551724137931034
tinnam,1,0.00026939655172413793
pañcalas,2,0.0005387931034482759
excreted,2,0.0005387931034482759
accommodating,1,0.00026939655172413793
presidentship,1,0.00026939655172413793
mala,1,0.00026939655172413793
doomed,4,0.0010775862068965517
claybowl,1,0.00026939655172413793
patigha,1,0.00026939655172413793
conducts,11,0.002963362068965517
nonfraud,1,0.00026939655172413793
tenfold,18,0.004849137931034483
anupadaparinibbana,1,0.00026939655172413793
paññayananto,1,0.00026939655172413793
tathaaaagata,1,0.00026939655172413793
acme,3,0.0008081896551724138
diffused,17,0.0045797413793103444
fettered,61,0.016433189655172414
attanam,1,0.00026939655172413793
oozing,16,0.004310344827586207
remorse,39,0.01050646551724138
previously,33,0.008890086206896552
kula,3,0.0008081896551724138
connotes,2,0.0005387931034482759
troop,8,0.0021551724137931034
watered,14,0.003771551724137931
provinces,1,0.00026939655172413793
went,869,0.23410560344827586
konagamana,3,0.0008081896551724138
flapping,1,0.00026939655172413793
strengthen,1,0.00026939655172413793
tractable,3,0.0008081896551724138
thunderheads,4,0.0010775862068965517
subside,19,0.0051185344827586205
gladminded,1,0.00026939655172413793
punishment,11,0.002963362068965517
oyama,1,0.00026939655172413793
ranging,1,0.00026939655172413793
lowborn,6,0.0016163793103448276
salha,8,0.0021551724137931034
probe,4,0.0010775862068965517
tipitaka,9,0.0024245689655172415
vatthukaama,1,0.00026939655172413793
boasts,3,0.0008081896551724138
thanesu,1,0.00026939655172413793
